iter	Logloss
0	0.6786639949
1	0.6668192318
2	0.6571282731
3	0.6491988569
4	0.6426988366
5	0.6373722454
6	0.6330041346
7	0.6294178674
8	0.6264699963
9	0.624035736
10	0.6220354886
11	0.6203763123
12	0.6190176238
13	0.6178788145
14	0.6169364794
15	0.6162026316
16	0.6155965335
17	0.6150983611
18	0.6146832141
19	0.6143476044
20	0.614067296
21	0.6138368433
22	0.6136462394
23	0.6134900756
24	0.6133622302
25	0.6132568466
26	0.6131688338
27	0.6130974296
28	0.6130390834
29	0.6129917662
30	0.6129540461
31	0.612919155
32	0.6128933121
33	0.6128714185
34	0.6128518083
35	0.6128374055
36	0.612824831
37	0.6128142126
38	0.612806529
39	0.6127979052
40	0.612791762
41	0.6127893752
42	0.6127829766
43	0.6127803482
44	0.6127792524
45	0.612774716
46	0.6127745704
47	0.6127726183
48	0.6127716148
49	0.6127694282
50	0.6127672178
51	0.6127676496
52	0.6127660652
53	0.6127668244
54	0.6127669051
55	0.6127673404
56	0.6127663496
57	0.6127665711
58	0.6127641675
59	0.6127657044
60	0.6127643233
61	0.6127645085
62	0.6127660196
63	0.6127649811
64	0.612762957
65	0.6127654273
66	0.6127640003
67	0.61276282
68	0.612764546
69	0.6127636676
70	0.6127633869
71	0.6127625577
72	0.6127622032
73	0.6127640498
74	0.6127639434
75	0.6127649218
76	0.6127629341
77	0.6127639776
78	0.6127643415
79	0.6127620483
80	0.6127630274
81	0.6127631549
82	0.6127644382
83	0.6127627419
84	0.6127625022
85	0.6127649319
86	0.6127645237
87	0.6127632425
88	0.6127647624
89	0.6127641545
90	0.6127631964
91	0.6127627705
92	0.6127639201
93	0.6127631937
94	0.6127636219
95	0.6127618033
96	0.6127650818
97	0.6127630223
98	0.612764415
99	0.6127638104
