iter	Passed	Remaining
0	20	4110
1	41	4092
2	63	4193
3	85	4177
4	91	3573
5	113	3668
6	134	3701
7	157	3771
8	162	3446
9	168	3210
10	172	2970
11	175	2752
12	197	2839
13	202	2689
14	205	2535
15	210	2425
16	214	2313
17	235	2378
18	256	2441
19	266	2398
20	287	2451
21	298	2411
22	299	2305
23	317	2327
24	334	2344
25	337	2258
26	339	2174
27	357	2197
28	376	2218
29	378	2145
30	396	2159
31	413	2172
32	431	2182
33	448	2190
34	450	2124
35	469	2139
36	487	2147
37	505	2155
38	523	2160
39	541	2164
40	559	2171
41	578	2175
42	595	2176
43	601	2132
44	619	2134
45	636	2132
46	655	2132
47	673	2133
48	692	2134
49	711	2133
50	714	2087
51	732	2085
52	750	2082
53	768	2078
54	787	2076
55	788	2028
56	806	2024
57	825	2021
58	843	2016
59	861	2010
60	879	2004
61	884	1968
62	902	1963
63	921	1959
64	946	1966
65	965	1959
66	983	1952
67	1002	1945
68	1005	1909
69	1024	1902
70	1026	1864
71	1044	1857
72	1062	1848
73	1081	1841
74	1100	1834
75	1119	1826
76	1137	1816
77	1146	1793
78	1164	1783
79	1182	1774
80	1201	1764
81	1218	1754
82	1237	1743
83	1255	1734
84	1274	1724
85	1295	1717
86	1314	1707
87	1333	1697
88	1350	1684
89	1369	1673
90	1387	1661
91	1404	1648
92	1422	1636
93	1424	1606
94	1442	1594
95	1460	1582
96	1461	1552
97	1479	1540
98	1497	1527
99	1514	1514
100	1533	1502
101	1551	1490
102	1568	1477
103	1574	1453
104	1592	1440
105	1593	1413
106	1615	1404
107	1634	1392
108	1643	1372
109	1653	1352
110	1662	1333
111	1667	1310
112	1672	1287
113	1674	1263
114	1700	1257
115	1721	1246
116	1742	1236
117	1762	1225
118	1784	1214
119	1804	1203
120	1828	1193
121	1831	1170
122	1849	1158
123	1867	1144
124	1885	1131
125	1902	1117
126	1919	1103
127	1921	1080
128	1938	1067
129	1955	1052
130	1972	1038
131	1988	1024
132	2006	1010
133	2023	996
134	2042	983
135	2044	961
136	2062	948
137	2063	927
138	2081	913
139	2099	899
140	2117	885
141	2135	872
142	2153	858
143	2171	844
144	2189	830
145	2207	816
146	2225	802
147	2229	783
148	2246	769
149	2265	755
150	2282	740
151	2300	726
152	2317	711
153	2334	697
154	2350	682
155	2367	667
156	2384	653
157	2402	638
158	2420	624
159	2439	609
160	2457	595
161	2488	583
162	2509	569
163	2528	555
164	2548	540
165	2567	525
166	2576	509
167	2595	494
168	2599	476
169	2621	462
170	2642	448
171	2662	433
172	2682	418
173	2701	403
174	2720	388
175	2738	373
176	2759	358
177	2779	343
178	2798	328
179	2815	312
180	2837	297
181	2855	282
182	2872	266
183	2890	251
184	2892	234
185	2910	219
186	2927	203
187	2944	187
188	2962	172
189	2980	156
190	2998	141
191	3015	125
192	3032	109
193	3050	94
194	3067	78
195	3084	62
196	3086	46
197	3103	31
198	3121	15
199	3137	0
